throttle,clutch,wheelAngularSpeed,t_feedback,t_eng,t_loss,t_flywheel,flywheelAngularSpeed,torqueOut,timestamp:1430988030
0.75,0.5,0.0126326,0.00126326,0,-0.00307323,0.00180996,-0.0153655,0.0419972,
0.75,0.5,0.0127684,0.00127684,0,-0.00307311,0.00179627,-0.0153649,0.0422,
0.75,0.5,0.0129048,0.00129048,0,-0.00307299,0.00178251,-0.0153643,0.0424037,
0.75,0.5,0.0130419,0.00130419,0,-0.00307287,0.00176868,-0.0153637,0.0426084,
0.75,0.5,0.0131795,0.00131795,0,-0.00307275,0.0017548,-0.0153632,0.042814,
0.75,0.5,0.0133179,0.00133179,0,-0.00307263,0.00174085,-0.0153626,0.0430207,
0.75,0.5,0.0134568,0.00134568,0,-0.00307252,0.00172683,-0.015362,0.0432282,
0.75,0.5,0.0135964,0.00135964,0,-0.0030724,0.00171276,-0.0153614,0.0434368,
0.75,0.5,0.0137367,0.00137367,0,-0.00307229,0.00169862,-0.0153609,0.0436463,
0.75,0.5,0.0138776,0.00138776,0,-0.00307217,0.00168441,-0.0153603,0.0438569,
0.75,0.5,0.0140192,0.00140192,0,-0.00307206,0.00167015,-0.0153598,0.0440684,
0.75,0.5,0.0141614,0.00141614,0,-0.00307195,0.00165581,-0.0153592,0.0442809,
0.75,0.5,0.0143043,0.00143043,0,-0.00307184,0.00164141,-0.0153587,0.0444944,
0.75,0.5,0.0144478,0.00144478,0,-0.00307173,0.00162695,-0.0153581,0.0447089,
0.75,0.5,0.014592,0.0014592,0,-0.00307162,0.00161242,-0.0153576,0.0449244,
0.75,0.5,0.0147369,0.00147369,0,-0.00307151,0.00159782,-0.015357,0.0451409,
0.75,0.5,0.0148825,0.00148825,0,-0.00307141,0.00158316,-0.0153565,0.0453585,
0.75,0.5,0.0150287,0.00150287,0,-0.0030713,0.00156843,-0.015356,0.045577,
0.75,0.5,0.0151756,0.00151756,0,-0.0030712,0.00155364,-0.0153555,0.0457966,
0.75,0.5,0.0153232,0.00153232,0,-0.00307109,0.00153877,-0.015355,0.0460173,
0.75,0.5,0.0154715,0.00154715,0,-0.00307099,0.00152384,-0.0153544,0.0462389,
0.75,0.5,0.0156205,0.00156205,0,-0.00307089,0.00150884,-0.0153539,0.0464616,
0.75,0.5,0.0157701,0.00157701,0,-0.00307079,0.00149378,-0.0153534,0.0466854,
0.75,0.5,0.0159205,0.00159205,0,-0.00307069,0.00147864,-0.015353,0.0469102,
0.75,0.5,0.0160716,0.00160716,0,-0.00307059,0.00146344,-0.0153525,0.047136,
0.75,0.5,0.0162233,0.00162233,0,-0.00307049,0.00144816,-0.015352,0.0473629,
0.75,0.5,0.0163758,0.00163758,0,-0.0030704,0.00143282,-0.0153515,0.0475909,
0.75,0.5,0.016529,0.0016529,0,-0.0030703,0.00141741,-0.015351,0.04782,
0.75,0.5,0.0166829,0.00166829,0,-0.00307021,0.00140192,-0.0153506,0.0480501,
0.75,0.5,0.0168375,0.00168375,0,-0.00307011,0.00138637,-0.0153501,0.0482813,
0.75,0.5,0.0169928,0.00169928,0,-0.00307002,0.00137074,-0.0153496,0.0485137,
0.75,0.5,0.0171488,0.00171488,0,-0.00306993,0.00135505,-0.0153492,0.048747,
0.75,0.5,0.0173056,0.00173056,0,-0.00306984,0.00133928,-0.0153487,0.0489815,
0.75,0.5,0.0174631,0.00174631,0,-0.00306975,0.00132344,-0.0153483,0.0492171,
0.75,0.5,0.0176213,0.00176213,0,-0.00306966,0.00130753,-0.0153479,0.0494538,
0.75,0.5,0.0177803,0.00177803,0,-0.00306957,0.00129154,-0.0153474,0.0496916,
0.75,0.5,0.01794,0.001794,0,-0.00306949,0.00127549,-0.015347,0.0499306,
0.75,0.5,0.0181005,0.00181005,0,-0.0030694,0.00125935,-0.0153466,0.0501706,
0.75,0.5,0.0182617,0.00182617,0,-0.00306932,0.00124315,-0.0153462,0.0504118,
0.75,0.5,0.0184236,0.00184236,0,-0.00306924,0.00122687,-0.0153458,0.0506541,
0.75,0.5,0.0185863,0.00185863,0,-0.00306915,0.00121052,-0.0153454,0.0508976,
0.75,0.5,0.0187498,0.00187498,0,-0.00306907,0.00119409,-0.015345,0.0511422,
0.75,0.5,0.018914,0.0018914,0,-0.00306899,0.00117759,-0.0153446,0.0513879,
0.75,0.5,0.019079,0.0019079,0,-0.00306892,0.00116101,-0.0153442,0.0516348,
0.75,0.5,0.0192448,0.00192448,0,-0.00306884,0.00114436,-0.0153438,0.0518829,
0.75,0.5,0.0194113,0.00194113,0,-0.00306876,0.00112763,-0.0153434,0.0521321,
0.75,0.5,0.0195786,0.00195786,0,-0.00306869,0.00111083,-0.0153431,0.0523825,
0.75,0.5,0.0197467,0.00197467,0,-0.00306861,0.00109394,-0.0153427,0.0526341,
0.75,0.5,0.0199156,0.00199156,0,-0.00306854,0.00107698,-0.0153423,0.0528868,
0.75,0.5,0.0200852,0.00200852,0,-0.00306847,0.00105995,-0.015342,0.0531408,
0.75,0.5,0.0202556,0.00202556,0,-0.0030684,0.00104283,-0.0153416,0.0533959,
0.75,0.5,0.0204269,0.00204269,0,-0.00306833,0.00102564,-0.0153413,0.0536523,
0.75,0.5,0.0205989,0.00205989,0,-0.00306826,0.00100837,-0.015341,0.0539098,
0.75,0.5,0.0207717,0.00207718,0,-0.00306819,0.000991018,-0.0153406,0.0541686,
0.75,0.5,0.0209454,0.00209454,0,-0.00306813,0.000973588,-0.0153403,0.0544285,
0.75,0.5,0.0211198,0.00211198,0,-0.00306806,0.000956079,-0.01534,0.0546897,
0.75,0.5,0.0212951,0.00212951,0,-0.003068,0.000938489,-0.0153397,0.0549522,
0.75,0.5,0.0214712,0.00214712,0,-0.00306794,0.000920819,-0.0153394,0.0552158,
0.75,0.5,0.0216481,0.00216481,0,-0.00306787,0.000903068,-0.0153391,0.0554807,
0.75,0.5,0.0218258,0.00218258,0,-0.00306781,0.000885235,-0.0153388,0.0557468,
0.75,0.5,0.0220043,0.00220043,0,-0.00306775,0.000867322,-0.0153385,0.0560142,
0.75,0.5,0.0221837,0.00221837,0,-0.0030677,0.000849326,-0.0153382,0.0562829,
0.75,0.5,0.0223639,0.00223639,0,-0.00306764,0.000831248,-0.0153379,0.0565528,
0.75,0.5,0.022545,0.0022545,0,-0.00306758,0.000813087,-0.0153377,0.056824,
0.75,0.5,0.0227269,0.00227269,0,-0.00306753,0.000794843,-0.0153374,0.0570964,
